ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
31,InicioServicio,43.69,0.00,0,1,43.68769573204266,,4.985288291866603,,
28,FinServicio,44.00,0.31,1,1,34.194138418162346,43.997085707413845,,9.802947289251495,9.802947289251499
30,InicioServicio,44.00,0.00,0,1,43.997085707413845,,6.854838450320962,,
38,Llegada,44.39,0.39,0,1,,,,,
39,Llegada,44.67,0.27,1,1,,,,,
40,Llegada,44.73,0.06,1,1,,,,,
41,Llegada,45.07,0.35,1,1,,,,,
31,FinServicio,45.11,0.04,2,1,43.68769573204266,45.11362134982651,,1.42592561778385,6.411213909650449
38,InicioServicio,45.11,0.00,1,1,45.11362134982651,,0.7220693366213524,,
38,FinServicio,45.84,0.73,1,1,45.11362134982651,45.841810280435915,,0.7281889306094024,1.4502582672307582
41,InicioServicio,45.84,0.00,0,1,45.841810280435915,,0.7675145599597428,,
42,Llegada,46.22,0.38,0,1,,,,,
35,FinServicio,46.74,0.52,1,1,41.628024687329024,46.73967774779665,,5.111653060467626,5.111653060467624
40,InicioServicio,46.74,0.00,0,1,46.73967774779665,,2.012664184031891,,
41,FinServicio,47.13,0.39,1,1,45.841810280435915,47.12568492728807,,1.283874646852155,2.0513892068118977
42,InicioServicio,47.13,0.00,0,1,47.12568492728807,,0.9047170356508616,,
43,Llegada,47.43,0.30,0,1,,,,,
40,FinServicio,48.55,1.12,0,1,46.73967774779665,48.545633451551964,,1.8059557037553176,3.8186198877872073
44,Llegada,49.12,0.57,1,1,,,,,
44,InicioServicio,49.12,0.00,0,1,49.12028340695701,,,,
30,FinServicio,49.42,0.30,1,1,43.997085707413845,49.42340905653906,,5.426323349125215,12.281161799446174
39,InicioServicio,49.42,0.00,0,1,49.42340905653906,,4.758319492620238,,
42,FinServicio,49.96,0.53,1,1,47.12568492728807,49.95798916307335,,2.8323042357852812,3.7370212714361415
43,InicioServicio,49.96,0.00,0,1,49.95798916307335,,2.5301226133721855,,
39,FinServicio,52.59,2.63,0,1,49.42340905653906,52.59047096530789,,3.1670619087688276,7.9253814013890675
45,Llegada,52.89,0.30,0,1,,,,,
43,FinServicio,53.03,0.14,1,1,49.95798916307335,53.02933739239101,,3.0713482293176537,5.601470842689842
45,InicioServicio,53.03,0.00,0,1,53.02933739239101,,0.13564406883723734,,
46,Llegada,53.23,0.20,0,1,,,,,
36,FinServicio,53.44,0.22,1,1,42.69245480685003,53.44475071672741,,10.752295909877379,10.752295909877382
37,InicioServicio,53.44,0.00,0,1,53.44475071672741,,9.757217381824056,,
37,FinServicio,53.67,0.22,0,1,53.44475071672741,53.6655266545176,,0.22077593779018723,9.977993319614242
